# Fecha de creación: 04-12-2024 22:32:42
Equipo_local	Equipo_visita	Desenlace	Ganador
Equipo 0	Equipo 1	Victoria	Equipo 0
Equipo 0	Equipo 2	Victoria	Equipo 2
Equipo 0	Equipo 3	Victoria	Equipo 0
Equipo 0	Equipo 4	Victoria	Equipo 0
Equipo 0	Equipo 5	Victoria	Equipo 0
Equipo 0	Equipo 6	Victoria	Equipo 0
Equipo 0	Equipo 7	Victoria	Equipo 0
Equipo 0	Equipo 8	Victoria	Equipo 0
Equipo 0	Equipo 9	Victoria	Equipo 0
Equipo 0	Equipo 10	Victoria	Equipo 0
Equipo 0	Equipo 11	Victoria	Equipo 11
Equipo 0	Equipo 12	Victoria	Equipo 12
Equipo 0	Equipo 13	Victoria	Equipo 13
Equipo 0	Equipo 14	Victoria	Equipo 0
Equipo 0	Equipo 15	Victoria	Equipo 0
Equipo 0	Equipo 16	Victoria	Equipo 16
Equipo 0	Equipo 17	Victoria	Equipo 17
Equipo 0	Equipo 18	Victoria	Equipo 0
Equipo 0	Equipo 19	Victoria	Equipo 19
Equipo 1	Equipo 2	Victoria	Equipo 2
Equipo 1	Equipo 3	Victoria	Equipo 1
Equipo 1	Equipo 4	Victoria	Equipo 1
Equipo 1	Equipo 5	Victoria	Equipo 1
Equipo 1	Equipo 6	Victoria	Equipo 1
Equipo 1	Equipo 7	Victoria	Equipo 7
Equipo 1	Equipo 8	Victoria	Equipo 8
Equipo 1	Equipo 9	Victoria	Equipo 9
Equipo 1	Equipo 10	Victoria	Equipo 10
Equipo 1	Equipo 11	Victoria	Equipo 11
Equipo 1	Equipo 12	Victoria	Equipo 1
Equipo 1	Equipo 13	Victoria	Equipo 13
Equipo 1	Equipo 14	Victoria	Equipo 1
Equipo 1	Equipo 15	Victoria	Equipo 1
Equipo 1	Equipo 16	Victoria	Equipo 1
Equipo 1	Equipo 17	Victoria	Equipo 1
Equipo 1	Equipo 18	Victoria	Equipo 18
Equipo 1	Equipo 19	Victoria	Equipo 1
Equipo 2	Equipo 3	Victoria	Equipo 2
Equipo 2	Equipo 4	Victoria	Equipo 4
Equipo 2	Equipo 5	Victoria	Equipo 5
Equipo 2	Equipo 6	Victoria	Equipo 6
Equipo 2	Equipo 7	Victoria	Equipo 7
Equipo 2	Equipo 8	Victoria	Equipo 2
Equipo 2	Equipo 9	Victoria	Equipo 9
Equipo 2	Equipo 10	Victoria	Equipo 2
Equipo 2	Equipo 11	Victoria	Equipo 11
Equipo 2	Equipo 12	Victoria	Equipo 2
Equipo 2	Equipo 13	Victoria	Equipo 2
Equipo 2	Equipo 14	Victoria	Equipo 2
Equipo 2	Equipo 15	Victoria	Equipo 2
Equipo 2	Equipo 16	Victoria	Equipo 2
Equipo 2	Equipo 17	Victoria	Equipo 17
Equipo 2	Equipo 18	Victoria	Equipo 2
Equipo 2	Equipo 19	Victoria	Equipo 2
Equipo 3	Equipo 4	Victoria	Equipo 3
Equipo 3	Equipo 5	Victoria	Equipo 5
Equipo 3	Equipo 6	Victoria	Equipo 3
Equipo 3	Equipo 7	Victoria	Equipo 7
Equipo 3	Equipo 8	Victoria	Equipo 8
Equipo 3	Equipo 9	Victoria	Equipo 3
Equipo 3	Equipo 10	Empate	---
Equipo 3	Equipo 11	Victoria	Equipo 3
Equipo 3	Equipo 12	Victoria	Equipo 12
Equipo 3	Equipo 13	Victoria	Equipo 3
Equipo 3	Equipo 14	Victoria	Equipo 14
Equipo 3	Equipo 15	Victoria	Equipo 3
Equipo 3	Equipo 16	Victoria	Equipo 16
Equipo 3	Equipo 17	Victoria	Equipo 3
Equipo 3	Equipo 18	Victoria	Equipo 3
Equipo 3	Equipo 19	Victoria	Equipo 3
Equipo 4	Equipo 5	Victoria	Equipo 5
Equipo 4	Equipo 6	Victoria	Equipo 4
Equipo 4	Equipo 7	Victoria	Equipo 7
Equipo 4	Equipo 8	Victoria	Equipo 8
Equipo 4	Equipo 9	Victoria	Equipo 9
Equipo 4	Equipo 10	Victoria	Equipo 4
Equipo 4	Equipo 11	Victoria	Equipo 4
Equipo 4	Equipo 12	Victoria	Equipo 4
Equipo 4	Equipo 13	Victoria	Equipo 13
Equipo 4	Equipo 14	Victoria	Equipo 14
Equipo 4	Equipo 15	Victoria	Equipo 15
Equipo 4	Equipo 16	Victoria	Equipo 4
Equipo 4	Equipo 17	Victoria	Equipo 4
Equipo 4	Equipo 18	Victoria	Equipo 18
Equipo 4	Equipo 19	Victoria	Equipo 19
Equipo 5	Equipo 6	Victoria	Equipo 5
Equipo 5	Equipo 7	Victoria	Equipo 7
Equipo 5	Equipo 8	Victoria	Equipo 8
Equipo 5	Equipo 9	Victoria	Equipo 9
Equipo 5	Equipo 10	Victoria	Equipo 5
Equipo 5	Equipo 11	Victoria	Equipo 5
Equipo 5	Equipo 12	Victoria	Equipo 12
Equipo 5	Equipo 13	Victoria	Equipo 5
Equipo 5	Equipo 14	Victoria	Equipo 14
Equipo 5	Equipo 15	Victoria	Equipo 15
Equipo 5	Equipo 16	Victoria	Equipo 5
Equipo 5	Equipo 17	Victoria	Equipo 17
Equipo 5	Equipo 18	Victoria	Equipo 18
Equipo 5	Equipo 19	Victoria	Equipo 19
Equipo 6	Equipo 7	Victoria	Equipo 7
Equipo 6	Equipo 8	Victoria	Equipo 8
Equipo 6	Equipo 9	Victoria	Equipo 9
Equipo 6	Equipo 10	Victoria	Equipo 6
